Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
NXN,Nuveen New York Select Tax-Free Income Portfolio Common Stock,1992,54870032,16166,,
NXP,Nuveen Select Tax Free Income Portfolio Common Stock,1992,291799922,17201,,
NXQ,Nuveen Select Tax Free Income Portfolio II Common Stock,1992,283065357,20622,,
NXR,Nuveen Select Tax Free Income Portfolio III Common Stock,1992,228036389,14782,,
NXRT,NexPoint Residential Trust Inc. Common Stock,2015,986226797,189510,Consumer Services,Real Estate Investment Trusts
NYCB,New York Community Bancorp Inc. Common Stock,,4968407128,4021459,Finance,Banks
NYT,New York Times Company (The) Common Stock,,8360851150,3407881,Consumer Services,Newspapers/Magazines
NYV,Nuveen New York Municipal Value Fund 2 Common Shares of Beneficial Interest,2009,35267676,54,,
NZF,Nuveen Municipal Credit Income Fund ,2007,2305282195,183995,,
O,Realty Income Corporation Common Stock,,22757416223,3029678,Consumer Services,Real Estate Investment Trusts
OACB,Oaktree Acquisition Corp. II Class A Ordinary Shares,2020,330000000,141816,Finance,Business Services
OACB.U,Oaktree Acquisition Corp. II Units each consisting of one Class A ordinary share and one-fourth of one redeemable warrant,2020,,0,,
OACB.WS,Oaktree Acquisition Corp. II Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
OC,Owens Corning Inc Common Stock New,,8462757583,807976,Capital Goods,Industrial Machinery/Components
OCN,Ocwen Financial Corporation NEW Common Stock,,217620890,50812,Finance,Finance: Consumer Services
ODC,Oil-Dri Corporation Of America Common Stock,,256619412,19711,Consumer Durables,Miscellaneous manufacturing industries
OFC,Corporate Office Properties Trust Common Stock,,2981618092,706851,Consumer Services,Real Estate Investment Trusts
OGE,OGE Energy Corp Common Stock,,6192619726,997859,Public Utilities,Electric Utilities: Central
OHI,Omega Healthcare Investors Inc. Common Stock,1992,8358287243,1874268,Consumer Services,Real Estate Investment Trusts
OI,O-I Glass Inc. Common Stock,,2014864159,831339,Consumer Durables,Containers/Packaging
OIA,Invesco Municipal Income Opportunities Trust Common Stock,,375677919,16885,,
OII,Oceaneering International Inc. Common Stock,,887783464,2625154,Energy,Oilfield Services/Equipment
OIS,Oil States International Inc. Common Stock,2001,352759486,1037097,Energy,Metal Fabrications
OKE,ONEOK Inc. Common Stock,,18713575104,3512764,Public Utilities,Oil & Gas Production
OLN,Olin Corporation Common Stock,,3943394034,1567663,Basic Industries,Major Chemicals
OLP,One Liberty Properties Inc. Common Stock,,420261018,72793,Consumer Services,Real Estate Investment Trusts
OMC,Omnicom Group Inc. Common Stock,,13863639596,2456444,Technology,Advertising
OMI,Owens & Minor Inc. Common Stock,,2069370654,1733983,Health Care,Medical Specialities
ONTO,Onto Innovation Inc. Common Stock,,2752132519,437162,Capital Goods,Industrial Machinery/Components
OPP,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. Common Stock,2016,200800435,90168,,
OPY,Oppenheimer Holdings Inc. Class A Common Stock (DE),,382925070,96303,Finance,Investment Bankers/Brokers/Service
ORA,Ormat Technologies Inc. Common Stock,2004,6305017472,732698,Public Utilities,Electric Utilities: Central
ORC,Orchid Island Capital Inc. Common Stock,2013,407876489,2221282,Consumer Services,Real Estate Investment Trusts
ORCL,Oracle Corporation Common Stock,1986,1.80234E+11,11164138,Technology,Computer Software: Prepackaged Software
ORI,Old Republic International Corporation Common Stock,,5585634316,2587972,Finance,Property-Casualty Insurers
ORN,Orion Group Holdings Inc. Common,,170932834,209307,Basic Industries,Military/Government/Technical
OSG,Overseas Shipholding Group Inc. Class A Common Stock,2015,178717739,252646,Transportation,Marine Transportation
OSH,Oak Street Health Inc. Common Stock,2020,12763921842,441899,Health Care,Medical/Nursing Services
OSK,Oshkosh Corporation (Holding Company)Common Stock,,6491750253,1460507,Capital Goods,Auto Manufacturing
OXM,Oxford Industries Inc. Common Stock,,1143186186,84385,Consumer Non-Durables,Apparel
OXY,Occidental Petroleum Corporation Common Stock,,19508838920,16420163,Energy,Oil & Gas Production
OXY.WS,Occidental Petroleum Corporation Warrants ,,,0,,
PACE,TPG Pace Tech Opportunities Corp. Class A Ordinary Shares,2020,636733125,169820,Finance,Business Services
PACE.U,TPG Pace Tech Opportunities Corp. Units each consisting of one Class A ordinary share and one-fifth of one Warrant,2020,,0,,
PACE.WS,TPG Pace Tech Opportunities Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share,,,0,,
PAG,Penske Automotive Group Inc. Common Stock,,4971978392,405777,Consumer Durables,Automotive Aftermarket
PAI,Western Asset Investment Grade Income Fund Inc.,,148284256,8266,,
