Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,1999,37300628381,1677853,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AAIC,Arlington Asset Investment Corp Class A (new),,123348165,160130,Consumer Services,Real Estate Investment Trusts
AAN,Aarons Holdings Company Inc. Common Stock ,2020,589772767,615720,Technology,Diversified Commercial Services
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,,10404815010,1634487,Consumer Services,Other Specialty Stores
AAT,American Assets Trust Inc. Common Stock,2011,1723534394,391462,Consumer Services,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,,3545956322,671976,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,2012,1.8398E+11,8530995,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,,21881676034,1017365,Health Care,Other Pharmaceuticals
ABG,Asbury Automotive Group Inc Common Stock,2002,2832275579,372865,Consumer Durables,Automotive Aftermarket
ABM,ABM Industries Incorporated Common Stock,,2566870862,657882,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,2004,1797866447,1124661,Consumer Services,Real Estate Investment Trusts
ABT,Abbott Laboratories Common Stock,,2.13375E+11,11295747,Health Care,Major Pharmaceuticals
AC,Associated Capital Group Inc. Common Stock,2015,728486068,9892,Finance,Investment Bankers/Brokers/Service
ACC,American Campus Communities Inc Common Stock,2004,5711731777,747437,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation Common Stock,,788103621,329079,Consumer Durables,Publishing
ACEL,Accel Entertainment Inc. ,2017,970732196,246633,Consumer Services,Services-Misc. Amusement & Recreation
ACI,Albertsons Companies Inc. Class A Common Stock,2020,8184074676,5027631,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A Common Stock,2020,672075000,547748,Finance,Business Services
ACIC.U,Atlas Crest Investment Corp. Units each consisting of one Class A common stock and one-third of one redeemable warrant,2020,,0,,
ACIC.WS,Atlas Crest Investment Corp. Redeemable warrants included as part of the units each whole warrant exercisable for one Class A common stock at an exercise price of $11.50,,,0,,
ACM,AECOM Common Stock,2007,7530589386,822656,Consumer Services,Military/Government/Technical
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,2020,537682500,121026,Finance,Business Services
ACND.U,Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,2020,,0,,
ACND.WS,Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share,,,0,,
ACP,Aberdeen Income Credit Strategies Fund Common Shares,2011,189312563,98266,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,2012,388595308,191945,Consumer Services,Real Estate Investment Trusts
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,2015,339815654,42617,,
ADC,Agree Realty Corporation Common Stock,,4051651142,448842,Consumer Services,Real Estate Investment Trusts
ADM,Archer-Daniels-Midland Company Common Stock,,28381405389,2962056,Consumer Non-Durables,Packaged Foods
ADS,Alliance Data Systems Corporation Common Stock,2001,3512726089,1417937,Miscellaneous,Business Services
ADT,ADT Inc. Common Stock,2018,7949162716,5855291,Consumer Services,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,,1894351174,318684,,
AEE,Ameren Corporation Common Stock,,18271067744,1650023,Public Utilities,Power Generation
AEL,American Equity Investment Life Holding Company Common Stock,2003,2937995251,945483,Finance,Life Insurance
AEO,American Eagle Outfitters Inc. Common Stock,,3822234484,9488729,Consumer Services,Clothing/Shoe/Accessory Stores
AES,The AES Corporation Common Stock,,16328969683,12015468,Basic Industries,Electric Utilities: Central
AFB,AllianceBernstein National Municipal Income Fund Inc,2002,416514123,115708,,
AFC,Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047,,0,5886,,
AFG,American Financial Group Inc. Common Stock,,8130355876,2348722,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,2019,0,6009,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,2019,26558377,9734,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,2020,0,46021,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,2020,0,7326,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,,32396774699,4272588,Finance,Accident &Health Insurance
AGCO,AGCO Corporation Common Stock,,8420952134,1157439,Capital Goods,Industrial Machinery/Components
AGD,Aberdeen Global Dynamic Dividend Fund,2006,134782511,71387,,
AGM,Federal Agricultural Mortgage Corporation Common Stock,,824846265,39642,Finance,Finance Companies
AGR,Avangrid Inc. Common Stock,2015,14620358714,866470,Public Utilities,Electric Utilities: Central
AGS,PlayAGS Inc. Common Stock,2018,185982009,396067,Consumer Durables,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,,672158272,99741,Basic Industries,Engineering & Construction
AHC,A.H. Belo Corporation (TX) Common Stock,,48173452,575348,Consumer Services,Newspapers/Magazines
AHH,Armada Hoffler Properties Inc. Common Stock,2013,864430811,246947,Finance,Real Estate
AHT,Ashford Hospitality Trust Inc Common Stock,2003,169200957,9230987,Consumer Services,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,2015,0,411,Consumer Services,Real Estate Investment Trusts
AIG,American International Group Inc. New Common Stock,,33151510244,5048207,Finance,Property-Casualty Insurers
AIN,Albany International Corporation Common Stock,,2354670000,134340,Basic Industries,Textiles
AIR,AAR Corp. Common Stock,,1239466840,238102,Capital Goods,Aerospace
AIT,Applied Industrial Technologies Inc. Common Stock,,2833355561,259811,Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,1994,1437142480,5190357,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,,0,381,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,2004,7844351999,452887,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,2020,0,5817,Finance,Property-Casualty Insurers
AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,,0,51587,Finance,Property-Casualty Insurers
AJAX,Ajax I Class A Ordinary Shares,2020,1050361052,1296246,Finance,Business Services
AJAX.U,Ajax I Units each consisting of one Class A ordinary share and one-fourth of one redeemable warrant,2020,,0,,
AJAX.WS,Ajax I Redeemable warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
AJG,Arthur J. Gallagher & Co. Common Stock,,22215114220,1156336,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,,4003304404,1023850,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,2015,234951319,96498,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,2017,0,3592,Consumer Services,Real Estate Investment Trusts
AKR,Acadia Realty Trust Common Stock,,1322490019,735950,Consumer Services,Real Estate Investment Trusts
AL,Air Lease Corporation Class A Common Stock,2011,4785540786,873516,Technology,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,,17711283199,1705370,Basic Industries,Major Chemicals
ALE,Allete Inc.,,3245311819,375776,Public Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,,1138857422,442688,Consumer Services,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,,1697914781,50177,Capital Goods,Industrial Machinery/Components
ALK,Alaska Air Group Inc. Common Stock,,6266043631,2884426,Transportation,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,,33234635242,2741219,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,2013,10168470377,1184655,Consumer Services,Diversified Commercial Services
ALLY,Ally Financial Inc. Common Stock,2014,14447429440,5008541,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,2012,4911320259,689294,Capital Goods,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,,1411093154,9120,Consumer Services,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,2017,3922738986,6529885,Public Utilities,Natural Gas Distribution
AMBC,Ambac Financial Group Inc. Common Stock,,678891440,513597,Finance,Property-Casualty Insurers
AMBC.WS,Ambac Financial Group Inc. Warrants,,,0,,
AME,AMETEK Inc.,,26406844172,1323760,Capital Goods,Industrial Machinery/Components
AMG,Affiliated Managers Group Inc. Common Stock,,5164810178,457811,Finance,Investment Managers
AMK,AssetMark Financial Holdings Inc. Common Stock,2019,1719220821,31495,Finance,Investment Managers
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,,3440775669,217866,Technology,Professional Services
AMP,Ameriprise Financial Inc. Common Stock,,24381299174,771209,Finance,Investment Managers
AMPY,Amplify Energy Corp. Common Stock,2016,72676950,1912803,Energy,Oil & Gas Production
AMRC,Ameresco Inc. Class A Common Stock,2010,2686722790,354375,Basic Industries,Engineering & Construction
AMT,American Tower Corporation (REIT) Common Stock,,1.01418E+11,2685565,Consumer Services,Real Estate Investment Trusts
AMWL,American Well Corporation Class A Common Stock,2020,8244608988,5231823,Miscellaneous,Business Services
AN,AutoNation Inc. Common Stock,,6350005140,983412,Consumer Durables,Automotive Aftermarket
ANF,Abercrombie & Fitch Company Common Stock,,1471172046,1418035,Consumer Services,Clothing/Shoe/Accessory Stores
ANH,Anworth Mortgage Asset Corporation Common Stock,,252058434,523493,Consumer Services,Real Estate Investment Trusts
ANTM,Anthem Inc. Common Stock,,74738132198,1766990,Health Care,Medical Specialities
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,2007,958367781,414225,,
AON,Aon plc Class A Ordinary Shares (Ireland),,47222992843,1409415,Finance,Specialty Insurers
AONE,one Class A Ordinary Shares,2020,291862500,114023,Finance,Business Services
AONE.U,one Units each consisting of one Class A Ordinary Share and one third of one Warrant to acquire one Class A Ordinary Share,2020,,0,,
AONE.WS,one Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
AOS,A.O. Smith Corporation Common Stock,,9189130563,3501948,Consumer Durables,Consumer Electronics/Appliances
AP,Ampco-Pittsburgh Corporation Common Stock,,119209427,60206,Capital Goods,Fluid Controls
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,2013,4085119449,711738,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,,60978594519,982842,Basic Industries,Major Chemicals
APH,Amphenol Corporation Common Stock,,37947780164,2249404,Capital Goods,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,2015,2897992771,1875632,Consumer Services,Real Estate Investment Trusts
APO,Apollo Global Management Inc. Class A Common Stock,2011,10996888453,1300632,Finance,Investment Managers
APRN,Blue Apron Holdings Inc. Class A Common Stock,2017,168722589,1798216,Consumer Services,Catalog/Specialty Distribution
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,2020,1091283795,1419431,Finance,Business Services
APSG.U,Apollo Strategic Growth Capital Units each consisting of one Class A Ordinary Share and one-third Warrant,2020,,0,,
APSG.WS,Apollo Strategic Growth Capital Warrants each exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share,,,0,,
APTS,Preferred Apartment Communities Inc. Common Stock,2011,367268085,413300,Consumer Services,Real Estate Investment Trusts
AQUA,Evoqua Water Technologies Corp. Common Stock,2017,3307583558,827274,Technology,Industrial Machinery/Components
ARC,ARC Document Solutions Inc. Common Stock,2004,88603294,385595,Consumer Services,Professional Services
ARCH,Arch Resources Inc. Class A Common Stock,2016,757818869,359410,Energy,Coal Mining
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,2012,334558109,129190,,
ARE,Alexandria Real Estate Equities Inc. Common Stock,,24183364001,523416,Consumer Services,Real Estate Investment Trusts
ARI,Apollo Commercial Real Estate Finance Inc,2009,1651292912,1028637,Consumer Services,Real Estate Investment Trusts
ARL,American Realty Investors Inc. Common Stock,,145413421,13677,Finance,Real Estate
ARLO,Arlo Technologies Inc. Common Stock,2018,659169989,1467976,Consumer Non-Durables,Consumer Electronics/Appliances
AROC,Archrock Inc. Common Stock,,1406973544,1108051,Public Utilities,Natural Gas Distribution
ARR,ARMOUR Residential REIT Inc.,,737785283,884892,Consumer Services,Real Estate Investment Trusts
ARW,Arrow Electronics Inc. Common Stock,,7642906063,376639,Technology,Electronic Components
ASA,ASA  Gold and Precious Metals Limited,,407016996,92512,,
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,2020,326703125,126143,Finance,Business Services
ASAQ.U,Atlantic Street Acquisition Corp Units each consisting of one share of Class A common stock and one-half of one Warrant,2020,,0,,
ASAQ.WS,Atlantic Street Acquisition Corp Warrants each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50 per share,,,0,,
ASB,Associated Banc-Corp Common Stock,,2811317400,1607112,Finance,Major Banks
ASG,Liberty All-Star Growth Fund Inc.,,357285005,177548,,
ASGN,ASGN Incorporated Common Stock,1992,4584843000,227092,Technology,Professional Services
ASH,Ashland Global Holdings Inc. Common Stock,,4940255011,476125,Consumer Durables,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,2016,621431108,152027,Basic Industries,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,2014,561808207,227453,Consumer Services,RETAIL: Building Materials
AT,Atlantic Power Corporation Ordinary Shares (Canada),,264098801,1108584,Energy,Electric Utilities: Central
ATAC,Altimar Acquisition Corporation Class A Ordinary Shares,2020,364375000,4419714,Finance,Investment Managers
ATAC.U,Altimar Acquisition Corporation Units each consisting of one Class A ordinary share and one-third of one redeemable warrant,2020,,0,,
ATAC.WS,Altimar Acquisition Corporation Redeemable Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
ATGE,Adtalem Global Education Inc. Common Stock,,2023229316,758279,Consumer Services,Other Consumer Services
ATI,Allegheny Technologies Incorporated Common Stock,,2314400103,2722136,Basic Industries,Steel/Iron Ore
ATKR,Atkore International Group Inc. Common Stock,2016,2197757350,241147,Miscellaneous,Industrial Machinery/Components
ATO,Atmos Energy Corporation Common Stock,,11163063965,1797925,Public Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,,8753717855,165759,Consumer Non-Durables,Plastic Products
ATUS,Altice USA Inc. Class A Common Stock,2017,20370795231,8769270,Consumer Services,Television Services
AVA,Avista Corporation Common Stock,,2658019109,565844,Public Utilities,Power Generation
AVB,AvalonBay Communities Inc. Common Stock,,23177883358,555533,Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),,515494561,94778,Basic Industries,Agricultural Chemicals
AVK,Advent Convertible and Income Fund,2003,580714234,111957,,
AVLR,Avalara Inc. Common Stock,2018,13142313353,1144655,Technology,Computer Software: Prepackaged Software
AVNS,Avanos Medical Inc. Common Stock,2014,2213716562,248962,Health Care,Industrial Specialties
AVNT,Avient Corporation Common Stock,,3631581161,490393,Basic Industries,Major Chemicals
AVY,Avery Dennison Corporation Common Stock,,12872188682,385490,Consumer Durables,Containers/Packaging
AWF,Alliancebernstein Global High Income Fund,1993,1015785595,207607,,
AWI,Armstrong World Industries Inc Common Stock,,3802935814,316984,Consumer Non-Durables,Plastic Products
AWK,American Water Works Company Inc. Common Stock,2008,28965452081,827666,Public Utilities,Water Supply
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,2007,458640697,757297,,
AWR,American States Water Company Common Stock,,2889520148,182437,Public Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,2018,2369486324,394778,Finance,Savings Institutions
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,,1021722370,2318525,Capital Goods,Auto Parts:O.E.M.
AXO,Axos Financial Inc. 6.25% Subordinated Notes Due 2026,2018,0,544,Finance,Savings Institutions
AXP,American Express Company Common Stock,,95794876110,5785541,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,,57268753,3142,Consumer Services,Newspapers/Magazines
AXTA,Axalta Coating Systems Ltd. Common Shares,2014,6435581463,3510932,Basic Industries,Paints/Coatings
AYI,Acuity Brands Inc. ,,4470199388,562441,Consumer Durables,Building Products
AYX,Alteryx Inc. Class A Common Stock,2017,8387492884,1095778,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,2020,6037041754,1680909,Consumer Non-Durables,Plastic Products
AZO,AutoZone Inc. Common Stock,,26096501304,402368,Consumer Services,Other Specialty Stores
AZZ,AZZ Inc.,,1222040025,200444,Consumer Durables,Building Products
B,Barnes Group Inc. Common Stock,,2486325362,248640,Capital Goods,Metal Fabrications
BA,Boeing Company (The) Common Stock,,1.11342E+11,10367114,Capital Goods,Aerospace
BAC,Bank of America Corporation Common Stock,,2.62293E+11,51151993,Finance,Major Banks
BAF,BlackRock Municipal Income Investment Quality Trust,2002,134062082,11285,,
BAH,Booz Allen Hamilton Holding Corporation Common Stock,2010,13155674310,1253114,Consumer Services,Professional Services
BANC,Banc of California Inc. Common Stock,,882219528,252081,Finance,Major Banks
BAX,Baxter International Inc. Common Stock,,39409639406,4947875,Health Care,Medical/Dental Instruments
BBDC,Barings BDC Inc. Common Stock,,587191964,254164,,
BBF,BlackRock Municipal Income Investment Trust,,142230013,19474,,
BBK,Blackrock Municipal Bond Trust,2002,169419608,26749,,
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,2010,1536030106,103813,,
BBW,Build-A-Bear Workshop Inc. Common Stock,2004,81397336,4922345,Consumer Services,Recreational Products/Toys
BBY,Best Buy Co. Inc. Common Stock,,29082096328,2429300,Consumer Services,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,,6854978025,2065227,Energy,Industrial Machinery/Components
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,2020,2200000000,118199,,
BCC,Boise Cascade L.L.C. Common Stock,2013,1956141177,348947,Consumer Services,RETAIL: Building Materials
BCEI,Bonanza Creek Energy Inc. Common Stock,2017,437522967,430165,Energy,Oil & Gas Production
BCO,Brinks Company (The) Common Stock,,3454879010,264732,Transportation,Oil Refining/Marketing
BCSF,Bain Capital Specialty Finance Inc. Common Stock,2018,815421407,393749,,
BCX,BlackRock Resources Common Shares of Beneficial Interest,2011,724205533,499043,,
BDC,Belden Inc Common Stock,,2066780003,506785,Basic Industries,Telecommunications Equipment
BDJ,Blackrock Enhanced Equity Dividend Trust,2005,1565979082,831791,,
BDN,Brandywine Realty Trust Common Stock,,1920651575,2390215,Consumer Services,Real Estate Investment Trusts
BDX,Becton Dickinson and Company Common Stock,,74519089717,1583952,Health Care,Medical/Dental Instruments
BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B,,0,21566,Health Care,Medical/Dental Instruments
BEN,Franklin Resources Inc. Common Stock,,14028555672,3367297,Finance,Investment Managers
BERY,Berry Global Group Inc. Common Stock,2012,6638457579,1110651,Consumer Non-Durables,Plastic Products
BF/A,Brown Forman Corporation,,,42040,,
BF/B,Brown Forman Corporation,,,1048953,,
BFAM,Bright Horizons Family Solutions Inc. Common Stock,2013,9447427029,614951,Miscellaneous,Other Consumer Services
BFK,BlackRock Municipal Income Trust,,679380116,45016,,
BFS,Saul Centers Inc. Common Stock,1993,727740000,52289,Consumer Services,Real Estate Investment Trusts
BFT,Foley Trasimene Acquisition Corp. II Class A Common Stock,2020,2868050391,9898631,Finance,Business Services
BFT.U,Foley Trasimene Acquisition Corp. II Units each consisting of one share of Class A common stock and one-third of one warrant,2020,,0,,
BFT.WS,Foley Trasimene Acquisition Corp. II Warrants each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50 per share,,,0,,
BFY,BlackRock New York Municipal Income Trust II,2002,73121910,1914,,
BFZ,BlackRock California Municipal Income Trust,2001,450229673,35224,,
BG,Bunge Limited Bunge Limited,2001,9308383456,1590169,Consumer Non-Durables,Packaged Foods
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,2012,304174985,111996,,
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial Interest,2017,203090484,15067,,
BGR,BlackRock Energy and Resources Trust,2004,223988198,156522,,
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,,2410124741,5990655,Consumer Non-Durables,Packaged Foods
BGSF,BG Staffing Inc Common Stock,,133089532,50673,Technology,Professional Services
BGT,BlackRock Floating Rate Income Trust,2004,273700568,250639,,
BGY,Blackrock Enhanced International Dividend Trust,2007,625588551,270062,,
BH,Biglari Holdings Inc. Class B Common Stock,2018,347252254,9164,Consumer Services,Restaurants
BHE,Benchmark Electronics Inc. Common Stock,,925358953,214178,Technology,Electrical Products
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,2001,868894880,121735,,
BHLB,Berkshire Hills Bancorp Inc. Common Stock,,886510708,538626,Finance,Banks
BHR,Braemar Hotels & Resorts Inc. Common Stock,2013,188569787,589332,Consumer Services,Real Estate Investment Trusts
BHV,BlackRock Virginia Municipal Bond Trust,2002,26244372,1235,,
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,2017,5198571675,483965,Health Care,Major Pharmaceuticals
BIF,Boulder Growth & Income Fund Inc.,,1094738717,112719,,
BIG,Big Lots Inc. Common Stock,,2231054162,3515965,Consumer Services,Department/Specialty Retail Stores
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,,16897190686,166212,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIO/B,Bio-Rad Laboratories Inc.,,,108,,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,2018,5992289897,5376700,Consumer Services,Department/Specialty Retail Stores
BK,The Bank of New York Mellon Corporation Common Stock,,36082427160,7314159,Finance,Major Banks
BKD,Brookdale Senior Living Inc. Common Stock,2005,898585888,2317018,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,,1979767781,2118115,Consumer Services,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,,3739702843,510015,Public Utilities,Electric Utilities: Central
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),1993,291525864,51241,,
BKT,BlackRock Income Trust Inc. (The),,391076297,216159,,
BKU,BankUnited Inc. Common Stock,2011,3320648400,597836,Finance,Savings Institutions
BLD,TopBuild Corp. Common Stock,2015,6573845225,263610,Basic Industries,Engineering & Construction
BLE,BlackRock Municipal Income Trust II,2002,361144631,42339,,
BLK,BlackRock Inc. Common Stock,1999,1.0981E+11,822433,Finance,Investment Bankers/Brokers/Service
BLL,Ball Corporation Common Stock,,28870875818,1604652,Consumer Durables,Containers/Packaging
BLW,Blackrock Limited Duration Income Trust,2003,559673727,138041,Finance,Major Banks
BME,Blackrock Health Sciences Trust,2005,552566372,31687,,
BMI,Badger Meter Inc. Common Stock,,2814153991,280447,Capital Goods,Industrial Machinery/Components
BMY,Bristol-Myers Squibb Company Common Stock,,1.4076E+11,17509855,Health Care,Major Pharmaceuticals
BNED,Barnes & Noble Education Inc Common Stock,2015,314497997,1646496,Consumer Services,Other Specialty Stores
BNL,Broadstone Net Lease Inc. Class A Common Stock,2020,2661174988,297870,Consumer Services,Real Estate Investment Trusts
BNY,BlackRock New York Municipal Income Trust,,193732785,46147,,
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares,2020,808734375,502515,Finance,Business Services
BOAC.U,Bluescape Opportunities Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,2020,,0,,
BOAC.WS,Bluescape Opportunities Acquisition Corp. Redeemable warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,2005,708302939,218384,,
BOH,Bank of Hawaii Corporation Common Stock,,3238522752,285314,Finance,Major Banks
BOOT,Boot Barn Holdings Inc. Common Stock,2014,1665042850,975711,Consumer Services,Clothing/Shoe/Accessory Stores
BOX,Box Inc. Class A Common Stock,2015,2849233435,3879895,Technology,Computer Software: Prepackaged Software
BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests,2017,1239529679,823835,Energy,Natural Gas Distribution
BPT,BP Prudhoe Bay Royalty Trust Common Stock,,68266000,527464,Energy,Integrated oil Companies
BR,Broadridge Financial Solutions Inc.Common Stock,,16745169144,674624,Miscellaneous,Business Services
BRBR,BellRing Brands Inc. Class A Common Stock,2019,965210929,351382,Consumer Non-Durables,Packaged Foods
BRC,Brady Corporation Common Stock,,2473276541,389810,Consumer Durables,Miscellaneous manufacturing industries
BRK/A,Berkshire Hathaway Inc.,,,443,,
BRK/B,Berkshire Hathaway Inc.,,,5943520,,
BRMK,Broadmark Realty Capital Inc. Common Stock,2019,1392448313,800462,Consumer Services,Real Estate Investment Trusts
BRO,Brown & Brown Inc. Common Stock,,12470191856,1498022,Finance,Specialty Insurers
BRT,BRT Apartments Corp. (MD) Common Stock,,248714286,23445,Consumer Services,Real Estate Investment Trusts
BSD,BlackRock Strategic Municipal Trust Inc. (The) Common Stock,1999,109841840,6334,,
BSE,Blackrock New York Municipal Income Quality Trust Common Shares of Beneficial Interest,2002,91405633,13021,,
BSL,Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial Interest,2010,214963084,59385,,
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,2015,1792512868,636366,Energy,Oil & Gas Production
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,2014,1323633984,67953,,
BSX,Boston Scientific Corporation Common Stock,,51465487820,16495173,Health Care,Medical/Dental Instruments
BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,2006,173614226,14917,,
BTO,John Hancock Financial Opportunities Fund Common Stock,1994,590667588,39806,,
BTT,BlackRock Municipal 2030 Target Term Trust,2012,1824684177,59543,,
BTU,Peabody Energy Corporation Common Stock ,2017,420540000,4249556,Energy,Coal Mining
BTZ,BlackRock Credit Allocation Income Trust,2006,1383489185,150721,,
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,2011,463222575,36038,,
BV,BrightView Holdings Inc. Common Stock,2018,1597415075,214413,Consumer Non-Durables,Farming/Seeds/Milling
BVH,Bluegreen Vacations Holding Corporation Class A Common Stock,2017,250357224,50295,Finance,Real Estate
BW,Babcock & Wilcox Enterprises Inc. Common Stock,2015,302175183,953373,Capital Goods,Building Products
BWA,BorgWarner Inc. Common Stock,,10370036625,3088677,Capital Goods,Auto Parts:O.E.M.
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,2012,264471417,42522,,
BWXT,BWX Technologies Inc. Common Stock,,5254416098,400974,Energy,Industrial Machinery/Components
BX,The Blackstone Group Inc. Class A Common Stock,2007,46530975809,3744676,Finance,Investment Managers
BXC,Bluelinx Holdings Inc. Common Stock,2004,340426209,195074,Capital Goods,Wholesale Distributors
BXG,Bluegreen Vacations Corporation Common Stock,2017,549430941,27787,Finance,Real Estate
BXMT,Blackstone Mortgage Trust Inc. Common Stock,,3999970194,809027,Consumer Services,Real Estate Investment Trusts
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,,1296921989,208548,,
BXP,Boston Properties Inc. Common Stock,1997,14308224825,1576467,Consumer Services,Real Estate Investment Trusts
BXS,BancorpSouth Bank Common Stock,,2903959485,347355,,
BY,Byline Bancorp Inc. Common Stock,2017,577986837,71312,Finance,Major Banks
BYD,Boyd Gaming Corporation Common Stock,1993,5131960139,1381903,Consumer Services,Hotels/Resorts
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,2002,397414409,113979,,
